DepAirportCode,DepSchedDate,DepSchedTime,DepActualDate,DepActualTime,DepStatusCode,DepStatusDesc,ArrivalAirportCode,ArrSchedDate,ArrSchedTime,ArrActualDate,ArrActualTime,ArrStatusCode,ArrStatusDesc,OpAirlineID,OpFlightNumber,AircraftCode,MarkAirlineID,MarkFlightNumber
FRA,2023-07-06,07:00,,07:04,DP,Flight Departed,HAJ,2023-07-06,07:50,2023-07-06,07:44,LD,Flight Landed,LH,046,32Q,,
FRA,2023-07-06,09:15,,09:29,DP,Flight Departed,HAJ,2023-07-06,10:05,2023-07-06,10:15,LD,Flight Landed,LH,048,320,,
FRA,2023-07-06,17:10,,18:25,DP,Flight Departed,HAJ,2023-07-06,18:00,2023-07-06,19:10,LD,Flight Landed,LH,054,32A,,
FRA,2023-07-06,22:15,,22:14,DP,Flight Departed,HAJ,2023-07-06,23:05,2023-07-06,23:07,LD,Flight Landed,LH,058,319,,
HAJ,2023-07-06,06:00,,05:57,DP,Flight Departed,FRA,2023-07-06,06:55,2023-07-06,06:48,LD,Flight Landed,LH,049,319,,
HAJ,2023-07-06,08:35,,08:31,DP,Flight Departed,FRA,2023-07-06,09:30,2023-07-06,09:27,LD,Flight Landed,LH,051,32Q,,
HAJ,2023-07-06,18:40,,19:57,DP,Flight Departed,FRA,2023-07-06,19:35,2023-07-06,20:45,LD,Flight Landed,LH,059,32A,,
CGN,2023-07-06,12:00,,12:52,DP,Flight Departed,FRA,2023-07-06,12:45,2023-07-06,13:37,LD,Flight Landed,LH,941,32N,,
CGN,2023-07-06,12:00,,12:34,DP,Flight Departed,FRA,2023-07-06,12:45,2023-07-06,13:23,LD,Flight Landed,LH,987,320,,
CGN,2023-07-06,12:30,,12:31,DP,Flight Departed,FRA,2023-07-06,13:15,2023-07-06,13:21,LD,Flight Landed,LH,053,320,,
FRA,2023-07-06,09:15,,09:19,DP,Flight Departed,FMO,2023-07-06,10:00,2023-07-06,10:03,LD,Flight Landed,CL,062,CR9,,
FRA,2023-07-06,13:15,,13:17,DP,Flight Departed,FMO,2023-07-06,14:00,2023-07-06,14:01,LD,Flight Landed,CL,064,CR9,,
FRA,2023-07-06,16:50,,17:10,DP,Flight Departed,FMO,2023-07-06,17:35,2023-07-06,17:55,LD,Flight Landed,CL,066,CR9,,
FRA,2023-07-06,21:00,,21:03,DP,Flight Departed,FMO,2023-07-06,21:45,2023-07-06,21:52,LD,Flight Landed,CL,068,CR9,,
