DepAirportCode,DepSchedDate,DepSchedTime,DepActualDate,DepActualTime,DepStatusCode,DepStatusDesc,ArrivalAirportCode,ArrSchedDate,ArrSchedTime,ArrActualDate,ArrActualTime,ArrStatusCode,ArrStatusDesc,OpAirlineID,OpFlightNumber,AircraftCode,MarkAirlineID,MarkFlightNumber
DMM,2023-07-18,23:40,2023-07-18,23:40,DP,Flight Departed,KWI,2023-07-19,00:45,2023-07-19,00:50,LD,Flight Landed,LH,625,333,,
FRA,2023-07-18,14:10,2023-07-18,14:26,DP,Flight Departed,DXB,2023-07-18,22:35,2023-07-18,22:44,LD,Flight Landed,LH,630,333,,
DXB,2023-07-18,00:50,2023-07-18,00:54,DP,Flight Departed,FRA,2023-07-18,05:45,2023-07-18,05:49,LD,Flight Landed,LH,631,333,,
FRA,2023-07-18,13:10,2023-07-18,13:29,DP,Flight Departed,RUH,2023-07-18,19:55,2023-07-18,20:13,LD,Flight Landed,LH,636,333,,
RUH,2023-07-18,20:45,2023-07-18,20:49,DP,Flight Departed,BAH,2023-07-18,22:00,2023-07-18,21:56,LD,Flight Landed,LH,636,333,,
BAH,2023-07-18,23:45,2023-07-18,23:44,DP,Flight Departed,RUH,2023-07-19,01:05,2023-07-19,00:58,LD,Flight Landed,LH,637,333,,
RUH,2023-07-18,01:55,2023-07-18,01:45,DP,Flight Departed,FRA,2023-07-18,07:20,2023-07-18,07:07,LD,Flight Landed,LH,637,333,,
NQZ,2023-07-18,00:10,2023-07-18,00:29,DP,Flight Departed,ALA,2023-07-18,01:55,2023-07-18,02:19,LD,Flight Landed,LH,646,333,,
ALA,2023-07-18,04:00,2023-07-18,04:02,DP,Flight Departed,FRA,2023-07-18,08:15,2023-07-18,08:15,LD,Flight Landed,LH,647,333,,
FRA,2023-07-18,13:05,2023-07-18,13:23,DP,Flight Departed,ALA,2023-07-19,00:10,2023-07-18,23:48,LD,Flight Landed,LH,648,333,,
HAM,2023-07-18,06:00,,06:11,DP,Flight Departed,FRA,2023-07-18,07:10,2023-07-18,07:14,LD,Flight Landed,LH,001,32A,,
HAM,2023-07-18,07:00,,07:14,DP,Flight Departed,FRA,2023-07-18,08:10,2023-07-18,08:23,LD,Flight Landed,LH,005,321,,
HAM,2023-07-18,07:30,,07:32,DP,Flight Departed,FRA,2023-07-18,08:40,2023-07-18,08:39,LD,Flight Landed,LH,007,320,,
HAM,2023-07-18,08:30,,08:25,DP,Flight Departed,FRA,2023-07-18,09:40,2023-07-18,09:32,LD,Flight Landed,LH,009,32A,,
HAM,2023-07-18,09:30,,09:31,DP,Flight Departed,FRA,2023-07-18,10:40,2023-07-18,10:44,LD,Flight Landed,LH,011,32M,,
HAM,2023-07-18,10:00,,10:13,DP,Flight Departed,FRA,2023-07-18,11:10,2023-07-18,11:13,LD,Flight Landed,LH,013,32A,,
HAM,2023-07-18,11:00,,11:13,DP,Flight Departed,FRA,2023-07-18,12:10,2023-07-18,12:20,LD,Flight Landed,LH,015,321,,
HAM,2023-07-18,12:00,,12:07,DP,Flight Departed,FRA,2023-07-18,13:10,2023-07-18,13:12,LD,Flight Landed,LH,017,32M,,
HAM,2023-07-18,14:00,,14:08,DP,Flight Departed,FRA,2023-07-18,15:10,2023-07-18,15:14,LD,Flight Landed,LH,021,32M,,
HAM,2023-07-18,15:00,,15:32,DP,Flight Departed,FRA,2023-07-18,16:10,2023-07-18,16:26,LD,Flight Landed,LH,023,32A,,
HAM,2023-07-18,17:00,,17:01,DP,Flight Departed,FRA,2023-07-18,18:10,2023-07-18,18:07,LD,Flight Landed,LH,027,32N,,
HAM,2023-07-18,18:00,,18:06,DP,Flight Departed,FRA,2023-07-18,19:10,2023-07-18,19:17,LD,Flight Landed,LH,029,32A,,
HAM,2023-07-18,19:00,,19:08,DP,Flight Departed,FRA,2023-07-18,20:10,2023-07-18,20:18,LD,Flight Landed,LH,031,32M,,
HAM,2023-07-18,20:00,,19:56,DP,Flight Departed,FRA,2023-07-18,21:10,2023-07-18,20:59,LD,Flight Landed,LH,033,320,,
FRA,2023-07-18,06:30,,06:33,DP,Flight Departed,HAM,2023-07-18,07:40,2023-07-18,07:34,LD,Flight Landed,LH,002,32A,,
FRA,2023-07-18,07:30,,07:35,DP,Flight Departed,HAM,2023-07-18,08:40,2023-07-18,08:34,LD,Flight Landed,LH,004,32M,,
FRA,2023-07-18,08:00,,08:06,DP,Flight Departed,HAM,2023-07-18,09:10,2023-07-18,09:03,LD,Flight Landed,LH,006,32A,,
FRA,2023-07-18,09:00,,09:07,DP,Flight Departed,HAM,2023-07-18,10:10,2023-07-18,10:07,LD,Flight Landed,LH,008,321,,
FRA,2023-07-18,10:00,,10:04,DP,Flight Departed,HAM,2023-07-18,11:10,2023-07-18,11:04,LD,Flight Landed,LH,010,32M,,
FRA,2023-07-18,12:00,,12:03,DP,Flight Departed,HAM,2023-07-18,13:10,2023-07-18,12:59,LD,Flight Landed,LH,014,32M,,
FRA,2023-07-18,13:00,,13:13,DP,Flight Departed,HAM,2023-07-18,14:10,2023-07-18,14:14,LD,Flight Landed,LH,016,32A,,
